,Date,Narration,Ref_no,Value_dt,Withdrawl,Deposit,Closing Balance,clean_narration,doc_topic,topic_desc
0,01/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218249800677-SUBSCRIPTION DEBIT,0000218249800677,01/07/22,20.0,,34304.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
1,02/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218327074783-SUBSCRIPTION DEBIT,0000218327074783,02/07/22,21.0,,34283.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
2,03/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218430894428-SUBSCRIPTION DEBIT,0000218430894428,03/07/22,20.0,,34263.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
3,03/07/22,UPI-NARESH PUROHIT-NP1784534@OKHDFCBANK-HDFC0003522-218435006946-UPI,0000218435006946,03/07/22,20.0,,34243.26, naresh purohit np,4,"[list([('naresh purohit', 11.170927092504018), ('purohit np', 11.167440746173527), ('naresh purohit np', 11.166542020373829), ('gagan pan', 0.13119500953407723), ('pan shop', 0.1307016139459496)])]"
4,04/07/22,UPI-KRISHNA VEGETABLES A-PAYTMQR281005050101OGH9MJCCHZHN@PAYTM-PYTM0123456-218563429825-UPI,0000218563429825,04/07/22,25.0,,34218.26, krishna vegetables a,2,"[list([('gupta juice', 19.243605119465393), ('gupta juice center', 19.24314059509313), ('juice center', 19.241968449100682), ('krishna vegetables', 4.4101114348673125), ('cred club', 3.506991506858471)])]"
5,05/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218650928183-SUBSCRIPTION DEBIT,0000218650928183,05/07/22,20.0,,34198.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
6,05/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218622207927-SUBSCRIPTION DEBIT,0000218622207927,05/07/22,20.0,,34178.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
7,06/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218727475241-SUBSCRIPTION DEBIT,0000218727475241,06/07/22,20.0,,34158.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
8,07/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218870601644-SUBSCRIPTION DEBIT,0000218870601644,07/07/22,20.0,,34138.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
9,08/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-218916681686-SUBSCRIPTION DEBIT,0000218916681686,08/07/22,20.0,,34118.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
10,08/07/22,UPI-MYNTRA-MYNTRA.PAYU@HDFCBANK-HDFC0000499-218936604811-UPI,0000218936604811,08/07/22,2598.0,,31520.26, myntra myntra payu,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
11,09/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219063973915-SUBSCRIPTION DEBIT,0000219063973915,09/07/22,20.0,,31500.26, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
12,09/07/22,UPI-OLA MONEY-OLAMONEY1.RZP@AXISBANK-UTIB0001507-219054815375-UPI,0000219054815375,09/07/22,137.0,,31363.26, ola money olamoney,9,"[list([('si tad', 2.035923755867459), ('autopay si tad', 2.0352256901407024), ('autopay si', 2.0348731549436505), ('dc autopay si', 2.032376855832404), ('dc autopay', 2.0312507869052774)])]"
13,09/07/22,UPI-JIOFIBER-JIOFIBER@YESBANK-YESB0000248-219059314098-JIO20TB00001T7PN30,0000219059314098,09/07/22,824.82,,30538.44, jiofiber jiofiber,8,"[list([('sumit mohan', 4.505268486902978), ('mohan gupta', 4.504494554311667), ('sumit mohan gupta', 4.502622451115006), ('jiofiber jiofiber', 2.613046376779851), ('olamoney razorpay', 1.7976716994787716)])]"
14,10/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219150821362-SUBSCRIPTION DEBIT,0000219150821362,10/07/22,20.0,,30518.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
15,11/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219275244997-SUBSCRIPTION DEBIT,0000219275244997,11/07/22,20.0,,30498.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
16,11/07/22,50400264425075- RD INSTALLMENT-JUL 2022,000000000000000,11/07/22,1400.0,,29098.44, rd installment jul,7,"[list([('raj vegetables gpay', 4.360523938382696), ('vegetables gpay', 4.3601697153875785), ('raj vegetables', 4.359825827176104), ('stores paytmqr', 3.567746696089187), ('hair glow', 2.506362310298007)])]"
17,12/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219390970394-SUBSCRIPTION DEBIT,0000219390970394,12/07/22,20.0,,29078.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
18,13/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219410334829-SUBSCRIPTION DEBIT,0000219410334829,13/07/22,20.0,,29058.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
19,13/07/22,UPI-NARESH PUROHIT-NP1784534@OKHDFCBANK-HDFC0003522-219443016371-BLDG 94 PANEER,0000219443016371,13/07/22,218.0,,28840.44, naresh purohit np,4,"[list([('naresh purohit', 11.170927092504018), ('purohit np', 11.167440746173527), ('naresh purohit np', 11.166542020373829), ('gagan pan', 0.13119500953407723), ('pan shop', 0.1307016139459496)])]"
20,13/07/22,UPI-RS MANI CAFE TILAK N-PAYTMQR281005050101MXMW793VKX3W@PAYTM-PYTM0123456-219444812186-UPI,0000219444812186,13/07/22,30.0,,28810.44, rs mani cafe,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
21,13/07/22,50400269095673- RD INSTALLMENT-MAY 2022,000000000000000,13/07/22,10000.0,,18810.44, rd installment may,5,"[list([('rd installment', 5.604710649033009), ('shantidhan stores', 2.7402329765419635), ('stores gpay', 2.7390542080882083), ('shantidhan stores gpay', 2.7366626902016304), ('installment dec', 2.0266108955371855)])]"
22,13/07/22,50400269095673- RD INSTALLMENT-JUN 2022,000000000000000,13/07/22,10000.0,,8810.44, rd installment jun,5,"[list([('rd installment', 5.604710649033009), ('shantidhan stores', 2.7402329765419635), ('stores gpay', 2.7390542080882083), ('shantidhan stores gpay', 2.7366626902016304), ('installment dec', 2.0266108955371855)])]"
23,14/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219501040262-SUBSCRIPTION DEBIT,0000219501040262,14/07/22,20.0,,8790.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
24,14/07/22,UPI-BALAJI HOT CHIPS-BALAJIHOTCHIPS.99779168@HDFCBANK-HDFC0000001-219558539333-UPI,0000219558539333,14/07/22,30.0,,8760.44, balaji hot chips,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
25,14/07/22,UPI-GAGAN PAN SHOP-PAYTMQR28100505010114WJI6OVAW2B@PAYTM-PYTM0123456-219558664615-UPI,0000219558664615,14/07/22,18.0,,8742.44, gagan pan shop,8,"[list([('sumit mohan', 4.505268486902978), ('mohan gupta', 4.504494554311667), ('sumit mohan gupta', 4.502622451115006), ('jiofiber jiofiber', 2.613046376779851), ('olamoney razorpay', 1.7976716994787716)])]"
